철도운영기관명,선명,역명,철도운영기관코드,선코드,역코드,출입구번호,위치,시작층명,시작운행층수,종료층명,종료운행층수,정원수,정원무게,승강기상태,승강기번호
,7호선,도봉산,S1,7,2712,내부,장암 방면3-4,지상,1,지상,2,15,1000.00,,
,7호선,도봉산,S1,7,2712,내부,수락산 방면4-2,지상,1,지상,2,15,1000.00,,
,7호선,도봉산,S1,7,2712,11,1-1번 출구 측,지하,1,지상,1,15,1000.00,,
,7호선,수락산,S1,7,2713,1,1번 출구 측,지하,2,지상,1,15,1000.00,,
,7호선,수락산,S1,7,2713,내부,도봉산 방면 1-1,지하,3,지하,2,10,800.00,,
,7호선,수락산,S1,7,2713,내부,마들 방면 8-2,지하,3,지하,2,10,800.00,,
,7호선,마들,S1,7,2714,내부,"수락산 방면8-4, 노원 방면1-1 ",지하,3,지하,1,15,1000.00,,
,7호선,마들,S1,7,2714,5,5번 출구 측,지하,1,지상,1,15,1000.00,,
,7호선,건대입구,S1,7,2729,내부,어린이대공원 방면5-4,지하,3,지하,2,15,1000.00,,
,5호선,양평,S1,5,2523,내부,영등포구청 방면6-3,지하,5,지하,4,15,1000.00,,
,5호선,양평,S1,5,2523,2,2번 출구 측,지하,1,지상,1,15,1000.00,,
,5호선,영등포구청,S1,5,2524,"6,7","6,7번 출구 사이(공영주차장입구)",지하,5,지상,1,15,1000.00,,
,5호선,영등포구청,S1,5,2524,내부,영등포시장 방면5-4,지하,5,지하,4,15,1000.00,,
,5호선,영등포구청,S1,5,2524,내부,양평 방면8-4,지하,5,지하,4,15,1000.00,,
,5호선,영등포구청,S1,5,2524,내부,영등포시장 방면1-1,지하,5,지하,4,12,1000.00,,
,5호선,영등포시장,S1,5,2525,내부,영등포구청 방면4-3,지하,6,지하,5,15,1000.00,,
,5호선,영등포시장,S1,5,2525,내부,신길 방면5-2,지하,6,지하,1,15,1000.00,,
,5호선,영등포시장,S1,5,2525,2,2번 출구 측,지하,1,지상,1,21,1600.00,,
,5호선,신길,S1,5,2526,내부,영등포시장 방면5-3,지하,4,지하,3,15,1000.00,,
,5호선,신길,S1,5,2526,내부,여의도 방면4-2,지하,4,지하,3,15,1000.00,,
,5호선,신길,S1,5,2526,3,3번 출구 측,지하,2,지상,1,15,1000.00,,
,5호선,신길,S1,5,2526,내부,여의도 방면1-1,지하,4,지하,3,15,1000.00,,
,5호선,신길,S1,5,2526,내부,영등포시장 방면8-4,지하,4,지하,3,24,1600.00,,
,5호선,신길,S1,5,2526,내부,환승통로(1호선),지하,3,지하,1,15,1150.00,,
,5호선,여의도,S1,5,2527,내부,신길 방면6-4,지하,4,지하,1,15,1000.00,,
,5호선,여의도,S1,5,2527,내부,여의나루 방면6-4,지하,4,지하,1,15,1000.00,,
,5호선,여의나루,S1,5,2528,내부,"여의도 방면6-2, 마포 방면3-3",지하,5,지하,1,15,1000.00,,
,용인에버라인,지석,EV,E1,Y112,,(2F) 1번 출입구 표 내는 곳 근처(3F) 강남대역 방향 승강장 ,지상,2,지상,3,13,900.00,,
,4호선,신용산,S1,4,429,1,1번 출구 측,지하,2,지상,1,20,1350.00,,
,5호선,여의나루,S1,5,2528,내부,대합실(지하2층),지하,1,지하,1,11,750.00,,
,서해선,원시,SW,WS,S28,1,(B1)종점승강장 > (1F) 1번출구 외부,지하,1,지상,1,15,1000.00,,
,9호선,신방화,S9,9,0904,,(B1) 중앙보훈병원역 방향 개찰구 앞(B2) 중앙보훈병원역 방향 승강장 4-4 출입문 앞,지하,2,지하,1,15,1000.00,,
,5호선,아차산(어린이대공원후문),S1,5,2546,내부,군자 방면6-1,지하,3,지하,1,15,1000.00,,
,4호선,충무로,S1,4,423,내부,대합실(B3),지하,4,지하,2,13,1000.00,,
,4호선,충무로,S1,4,423,7,7번 출구 측,지하,1,지상,1,8,600.00,,
,경강선,이매,KR,K5,K411,,(B2)왕십리행 환승구간(B3)판교행 승강장 3-4 출입문 앞,지하,3,지하,2,17,1150.00,,
,5호선,방이,S1,5,2557,1,1번 출구 측,지하,1,지상,1,15,1000.00,,
,경강선,이매,KR,K5,K411,,(B2)판교행 표내는곳 내 계단 옆(B3)판교행 승강장 2-1 출입문 앞,지하,3,지하,2,17,1150.00,,
,경강선,이매,KR,K5,K411,5,(1F) 5번 출입구 옆(B2) 고객맞이방 발매기 옆,지하,2,지상,1,17,1150.00,,
,경강선,삼동,KR,K5,K412,,1층 맞이방에서 판교방면승강장 3-2,지상,1,지상,2,12,1150.00,,
,경강선,삼동,KR,K5,K412,,1층 맞이방에서 여주방면승강장 3-4,지상,1,지상,2,12,1150.00,,
